Open time,Open,High,Low,Close,Volume,Trade count,VWAP
2023-07-27 19:00:00,376.17,377.78,375.31,376.54,12307939.0,99749,376.5953
2023-07-28 14:00:00,382.03,383.12,381.79,382.6102,9170821.0,70358,382.1793
2023-07-28 15:00:00,382.63,384.52,382.565,384.49,6326269.0,47970,382.5483
2023-07-28 16:00:00,384.485,384.49,383.345,383.53,6931923.0,43513,383.7496
2023-07-28 17:00:00,383.52,383.52,381.615,383.055,6659925.0,54322,382.352
2023-07-28 18:00:00,383.055,384.1898,382.73,383.81,5597397.0,45677,383.4372
2023-07-28 19:00:00,383.8,384.16,383.0,383.48,9090555.0,70652,383.0702
2023-07-31 14:00:00,383.0299,384.12,382.52,383.8001,6648987.0,66778,383.501
2023-07-31 15:00:00,383.8023,384.26,382.855,383.42,4773168.0,38855,383.6013
2023-07-31 16:00:00,383.435,383.84,382.9105,382.985,3833378.0,30764,383.4135
2023-07-31 17:00:00,382.985,383.8515,382.56,383.28,4135576.0,33996,383.1946
2023-07-31 18:00:00,383.3199,383.75,382.84,383.57,6067903.0,30118,383.454
2023-07-31 19:00:00,383.5797,383.85,382.34,383.85,8145816.0,55790,383.1021
2023-08-01 14:00:00,381.96,383.28,380.69,382.84,10491556.0,88023,382.2906
2023-08-01 15:00:00,382.85,383.115,382.28,382.925,4315504.0,40375,382.7126
2023-08-01 16:00:00,382.92,383.08,381.88,383.04,3756196.0,31392,382.7086
